organisation,organisation_kind,geography,website,engagement_mode,domain_ids,domain_families,tags,priority,rationale,provenance_kind,evidence_state,exclude_domain_ids
Aerobotics,AI company,South Africa,https://www.aerobotics.com,RESEARCH_FIRST,,INFORMATION|PRIMARY,artificial intelligence machine learning data agriculture,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Agricultural Research Council,research council,South Africa,https://www.arc.agric.za,PARTNERSHIP_OR_RESEARCH_ONLY,,PROFESSIONAL|SCIENCE|PRIMARY,research development scientific laboratory agriculture biological,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Mintek,mineral research organisation,South Africa,https://www.mintek.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,PROFESSIONAL|SCIENCE|ENGINEERING|PRIMARY,research development scientific laboratory mineral materials chemical,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Council for Geoscience,public science council,South Africa,https://www.geoscience.org.za,OBSERVATION_OR_PARTNERSHIP,,PRIMARY|SCIENCE,mineral exploration earth geology survey,95,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Afrimat,mining and materials company,South Africa,https://www.afrimat.co.za,RESEARCH_FIRST,,PRIMARY|INDUSTRY,mining quarrying mineral materials exploration,94,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Sappi,forestry and manufacturing company,South Africa,https://www.sappi.com,RESEARCH_FIRST,,PRIMARY|INDUSTRY,forestry wood paper printing environment plantation,94,"Large forestry and fibre business with certification, sustainability and production evidence burdens.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Exxaro,mining company,South Africa,https://www.exxaro.com,RESEARCH_FIRST,,PRIMARY,mining quarrying mineral exploration processing,93,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Agri SA,industry association,South Africa,https://agrisa.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,PRIMARY,agriculture crop livestock agronomy farm farming,92,National agricultural federation and strong morphology exemplar for evidence-heavy farming operations.,CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Sea Harvest,fishing and food company,South Africa,https://www.seaharvestgroup.co.za,RESEARCH_FIRST,,PRIMARY|INDUSTRY,fisheries aquaculture seafood food manufacturing,92,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Sibanye-Stillwater,mining company,South Africa,https://www.sibanyestillwater.com,RESEARCH_FIRST,,PRIMARY,mining mineral processing operations,92,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Aspen Pharmacare,pharmaceutical manufacturer,South Africa,https://www.aspenpharma.com,PARTNERSHIP_OR_RESEARCH_ONLY,,INDUSTRY|HEALTH,pharmaceutical manufacturing medicine health quality,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Sasol,chemicals and energy company,South Africa,https://www.sasol.com,RESEARCH_FIRST,,INDUSTRY|INFRASTRUCTURE|ENGINEERING,chemicals materials chemical engineering energy oil gas manufacturing,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Siemens South Africa,industrial technology company,South Africa,https://www.siemens.com/za/en.html,RESEARCH_FIRST,,ENGINEERING|INDUSTRY,electrical electronic engineering robotics automation industrial energy,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Toyota South Africa Motors,automotive manufacturer,South Africa,https://www.toyota.co.za,RESEARCH_FIRST,,INDUSTRY,automotive manufacturing vehicle quality,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
ABB South Africa,industrial technology company,South Africa,https://new.abb.com/africa/about/abb-in-africa/south-africa,RESEARCH_FIRST,,ENGINEERING|INDUSTRY,electrical electronic engineering robotics automation industrial energy,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
BMW Group South Africa,automotive manufacturer,South Africa,https://www.bmw.co.za,RESEARCH_FIRST,,INDUSTRY,automotive manufacturing vehicle quality,96,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Biovac,vaccine manufacturer,South Africa,https://www.biovac.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,INDUSTRY|HEALTH,pharmaceutical biotechnology manufacturing vaccines,96,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Volkswagen Group Africa,automotive manufacturer,South Africa,https://www.vw.co.za,RESEARCH_FIRST,,INDUSTRY,automotive manufacturing vehicle quality,96,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Yaskawa Southern Africa,robotics company,South Africa,https://www.yaskawa.co.za,RESEARCH_FIRST,,ENGINEERING|INDUSTRY,robotics automation industrial engineering,96,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
ACTOM,electrical equipment manufacturer,South Africa,https://www.actom.co.za,RESEARCH_FIRST,,INDUSTRY|ENGINEERING,electronics electrical equipment engineering manufacturing,95,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Eskom,electric utility,South Africa,https://www.eskom.co.za,OBSERVATION_OR_PARTNERSHIP,,INFRASTRUCTURE|ENGINEERING,electric power generation grids energy engineering,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
SRK Consulting South Africa,environmental and engineering consultancy,South Africa,https://www.srk.com/en/za,RESEARCH_FIRST,,PROFESSIONAL|ENGINEERING|INFRASTRUCTURE,environmental consulting compliance engineering mining,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African National Roads Agency,roads agency,South Africa,https://www.nra.co.za,OBSERVATION_OR_PARTNERSHIP,,ENGINEERING|INFRASTRUCTURE|PUBLIC,civil engineering roads infrastructure,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Transnet Freight Rail,rail freight operator,South Africa,https://www.transnetfreightrail-tfr.net,OBSERVATION_OR_PARTNERSHIP,,COMMERCE|INFRASTRUCTURE,rail transport freight logistics,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
WBHO,construction company,South Africa,https://www.wbho.co.za,RESEARCH_FIRST,,INFRASTRUCTURE|CROSSCUTTING,construction building contract tender bid,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Zutari,engineering consultancy,South Africa,https://www.zutari.com,RESEARCH_FIRST,,INFRASTRUCTURE|ENGINEERING|PROFESSIONAL,architecture building civil structural engineering urban planning environmental energy project,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Rand Water,water utility,South Africa,https://www.randwater.co.za,OBSERVATION_OR_PARTNERSHIP,,INFRASTRUCTURE,water supply treatment utility,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
WSP in Africa,engineering consultancy,South Africa,https://www.wsp.com/en-za,RESEARCH_FIRST,,ENGINEERING|PROFESSIONAL|INFRASTRUCTURE,mechanical electrical civil environmental energy engineering,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
EnviroServ,waste management company,South Africa,https://www.enviroserv.co.za,RESEARCH_FIRST,,INFRASTRUCTURE,waste management circular environment,96,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Shoprite Holdings,retail group,South Africa,https://www.shopriteholdings.co.za,RESEARCH_FIRST,,COMMERCE|ORGANISATION,retail wholesale warehousing inventory supply chain customer sales,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Takealot,e-commerce marketplace,South Africa,https://www.takealot.com,RESEARCH_FIRST,,COMMERCE,e-commerce marketplaces retail listing order,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Clicks Group,pharmacy and retail health group,South Africa,https://www.clicksgroup.co.za,RESEARCH_FIRST,,HEALTH|COMMERCE,pharmacy medication retail health,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
DHL Express South Africa,logistics company,South Africa,https://www.dhl.com/za-en/home.html,RESEARCH_FIRST,,COMMERCE,logistics freight courier warehousing shipment,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Tourism,national tourism agency,South Africa,https://www.southafrica.net,OBSERVATION_OR_PARTNERSHIP,,COMMERCE|PUBLIC,tourism travel services hospitality,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Transnet National Ports Authority,port authority,South Africa,https://www.transnetnationalportsauthority.net,OBSERVATION_OR_PARTNERSHIP,,COMMERCE|PUBLIC,maritime transport ports shipping,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Airlink,airline,South Africa,https://www.flyairlink.com,RESEARCH_FIRST,,COMMERCE,aviation operations airline transport,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Dis-Chem Pharmacies,pharmacy group,South Africa,https://www.dischemgroup.com,RESEARCH_FIRST,,HEALTH|COMMERCE,pharmacy medication retail health,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Famous Brands,food service group,South Africa,https://famousbrands.co.za,RESEARCH_FIRST,,COMMERCE,food service catering restaurant,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Council for Scientific and Industrial Research,research council,South Africa,https://www.csir.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,PROFESSIONAL|SCIENCE|ENGINEERING|INFORMATION,research development scientific laboratory engineering AI data materials,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Information Regulator South Africa,regulator,South Africa,https://inforegulator.org.za,OBSERVATION_ONLY,,INFORMATION|PUBLIC,data protection privacy regulatory information,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
MTN Group,telecommunications company,South Africa,https://www.mtn.com,RESEARCH_FIRST,,INFORMATION|ORGANISATION|CROSSCUTTING,telecommunications cloud data cybersecurity privacy AI customer vendor incident continuous control,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Media24,publisher and media company,South Africa,https://www.media24.com,RESEARCH_FIRST,,INFORMATION,publishing news journalism media printing,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
National Library of South Africa,national library,South Africa,https://www.nlsa.ac.za,OBSERVATION_OR_PARTNERSHIP,,HUMANITIES|INFORMATION|CROSSCUTTING,libraries archives records management literature writing semantic taxonomy,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
News24,news publisher,South Africa,https://www.news24.com,MANUAL_OR_PERMITTED_SEARCH_ONLY,,INFORMATION,news journalism media,99,"Major South African news publisher; use permitted search/RSS/manual observation only, not direct crawling.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
SABC,public broadcaster,South Africa,https://www.sabc.co.za,OBSERVATION_OR_PARTNERSHIP,,INFORMATION|PUBLIC,film audio broadcasting news media television radio,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Vodacom Group,telecommunications company,South Africa,https://www.vodacom.com,RESEARCH_FIRST,,INFORMATION|ORGANISATION|CROSSCUTTING,telecommunications cloud data cybersecurity privacy AI customer vendor incident continuous control,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
