organisation,organisation_kind,geography,website,engagement_mode,domain_ids,domain_families,tags,priority,rationale,provenance_kind,evidence_state,exclude_domain_ids
Mediclinic Southern Africa,hospital group,South Africa,https://www.mediclinic.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH,primary medical care specialist nursing imaging administration quality,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
National Institute for Communicable Diseases,public health institute,South Africa,https://www.nicd.ac.za,OBSERVATION_OR_PARTNERSHIP,,HEALTH|SCIENCE,public health epidemiology surveillance laboratory,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Netcare,hospital group,South Africa,https://www.netcare.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH|ORGANISATION,primary medical care specialist nursing imaging mental health administration quality,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Depression and Anxiety Group,mental health nonprofit,South Africa,https://www.sadag.org,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH|CIVIL,mental health services community,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Afrigen Biologics,biotechnology company,South Africa,https://www.afrigen.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH|SCIENCE,biotechnology clinical research vaccine laboratory,98,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
South African Radio Astronomy Observatory,astronomy research organisation,South Africa,https://www.sarao.ac.za,PARTNERSHIP_OR_RESEARCH_ONLY,,SCIENCE,astronomy space science physics data,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
DG Murray Trust,development foundation,South Africa,https://dgmt.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,SOCIAL|CIVIL,development humanitarian programmes education grant,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Gift of the Givers Foundation,humanitarian nonprofit,South Africa,https://giftofthegivers.org,PARTNERSHIP_OR_RESEARCH_ONLY,,CIVIL|SOCIAL,nonprofit NGO humanitarian aid community programme grant evidence,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
UNDP South Africa,international organisation,South Africa,https://www.undp.org/south-africa,OBSERVATION_OR_PARTNERSHIP,,CIVIL|SOCIAL,international organizations development programme,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
UNICEF South Africa,international organisation,South Africa,https://www.unicef.org/southafrica,OBSERVATION_OR_PARTNERSHIP,,CIVIL|SOCIAL,international organizations humanitarian aid development children,99,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Aurum Institute,health research organisation,South Africa,https://www.auruminstitute.org,PARTNERSHIP_OR_RESEARCH_ONLY,,HEALTH|SCIENCE|CIVIL,public health epidemiology clinical research,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
Kagiso Trust,development nonprofit,South Africa,https://www.kagiso.co.za,PARTNERSHIP_OR_RESEARCH_ONLY,,SOCIAL|CIVIL,development humanitarian programmes education grant,97,"Representative South African institution with substantial workflow, evidence, governance or service operations.",CURATED_BASELINE_PRIOR,SEED_PRIOR_REQUIRES_REFRESH,
